model,method,group,ndcg,arp,poplift,gini,js
LORE,borda,HighPop,0.0097,0.0082,-0.8336,0.45,0.1369
LORE,borda,LowPop,0.0194,0.0071,-0.4644,0.3931,0.0521
LORE,borda,MedPop,0.014,0.0075,-0.7551,0.5422,0.0963
LORE,borda,All,0.0143,0.0076,-0.7127,0.5706,0.0912
LORE,schulze,HighPop,0.0067,0.0077,-0.8442,0.4825,0.1533
LORE,schulze,LowPop,0.0256,0.0077,-0.4221,0.3781,0.0448
LORE,schulze,MedPop,0.0168,0.0074,-0.7606,0.5504,0.0963
LORE,schulze,All,0.0166,0.0075,-0.7096,0.5783,0.0921
BPR,borda,HighPop,0.1593,0.0616,0.239,0.6926,0.0736
BPR,borda,LowPop,0.0407,0.0308,1.0294,0.4869,0.0178
BPR,borda,MedPop,0.1207,0.0489,0.5667,0.7102,0.0535
BPR,borda,All,0.1124,0.0478,0.5937,0.7421,0.0424
BPR,schulze,HighPop,0.2224,0.0862,0.7513,0.7657,0.066
BPR,schulze,LowPop,0.0457,0.0437,1.8624,0.5825,0.0331
BPR,schulze,MedPop,0.1457,0.0681,1.2052,0.7906,0.0572
BPR,schulze,All,0.141,0.0668,1.2458,0.8118,0.0495
USG,borda,HighPop,0.1394,0.0777,0.5827,0.7985,0.0304
USG,borda,LowPop,0.0349,0.0755,4.5518,0.7539,0.1164
USG,borda,MedPop,0.1037,0.0776,1.5273,0.8583,0.0704
USG,borda,All,0.0971,0.0772,1.9433,0.8726,0.0702
USG,schulze,HighPop,0.1963,0.1038,1.1177,0.8216,0.0305
USG,schulze,LowPop,0.0288,0.1059,6.6522,0.7997,0.1217
USG,schulze,MedPop,0.1298,0.1053,2.4529,0.8791,0.0675
USG,schulze,All,0.1229,0.1051,3.0257,0.8944,0.0694
