model,method,group,ndcg,arp,poplift,gini,js
LORE,baseline,HighPop,0.0057,0.0062,-0.874,0.455,0.2391
LORE,baseline,LowPop,0.0209,0.0069,-0.4715,0.3626,0.0723
LORE,baseline,MedPop,0.0156,0.0064,-0.792,0.5275,0.16
LORE,baseline,All,0.0147,0.0064,-0.7443,0.5595,0.1512
LORE,cp,HighPop,0.0183,0.0149,-0.6986,0.5303,0.0016
LORE,cp,LowPop,0.028,0.0119,-0.1371,0.3902,0.0012
LORE,cp,MedPop,0.029,0.0132,-0.5712,0.5889,0.0013
LORE,cp,All,0.0267,0.0133,-0.5099,0.6222,0.0012
LORE,cp_min_js,HighPop,0.0183,0.0149,-0.6986,0.5303,0.0016
LORE,cp_min_js,LowPop,0.028,0.0119,-0.1371,0.3902,0.0012
LORE,cp_min_js,MedPop,0.029,0.0132,-0.5712,0.5889,0.0013
LORE,cp_min_js,All,0.0267,0.0133,-0.5099,0.6222,0.0012
LORE,mmr,HighPop,0.0031,0.0038,-0.9231,0.6359,0.3979
LORE,mmr,LowPop,0.0107,0.0039,-0.6927,0.6206,0.202
LORE,mmr,MedPop,0.0074,0.0036,-0.881,0.7353,0.2927
LORE,mmr,All,0.0072,0.0037,-0.8518,0.7675,0.2887
LORE,geo,HighPop,0.0069,0.0071,-0.8547,0.4338,0.2253
LORE,geo,LowPop,0.0228,0.0072,-0.4407,0.3737,0.0639
LORE,geo,MedPop,0.0153,0.0066,-0.7838,0.5273,0.1565
LORE,geo,All,0.0151,0.0068,-0.7294,0.5514,0.1444
LORE,borda,HighPop,0.0097,0.0082,-0.8336,0.45,0.1369
LORE,borda,LowPop,0.0194,0.0071,-0.4644,0.3931,0.0521
LORE,borda,MedPop,0.014,0.0075,-0.7551,0.5422,0.0963
LORE,borda,All,0.0143,0.0076,-0.7127,0.5706,0.0912
LORE,schulze,HighPop,0.0067,0.0077,-0.8442,0.4825,0.1533
LORE,schulze,LowPop,0.0256,0.0077,-0.4221,0.3781,0.0448
LORE,schulze,MedPop,0.0168,0.0074,-0.7606,0.5504,0.0963
LORE,schulze,All,0.0166,0.0075,-0.7096,0.5783,0.0921
BPR,baseline,HighPop,0.2556,0.1081,1.212,0.764,0.1475
BPR,baseline,LowPop,0.0538,0.0731,3.7704,0.6464,0.1369
BPR,baseline,MedPop,0.1852,0.0987,2.2101,0.8142,0.1859
BPR,baseline,All,0.173,0.0955,2.3225,0.8563,0.1552
BPR,cp,HighPop,0.2543,0.1075,1.1964,0.783,0.1211
BPR,cp,LowPop,0.0537,0.073,3.7562,0.6446,0.1329
BPR,cp,MedPop,0.1846,0.0982,2.1935,0.8231,0.1696
BPR,cp,All,0.1724,0.095,2.3066,0.8557,0.144
BPR,cp_min_js,HighPop,0.2369,0.0986,1.002,0.7848,0.0231
BPR,cp_min_js,LowPop,0.039,0.0488,2.1517,0.5159,0.0009
BPR,cp_min_js,MedPop,0.1562,0.0787,1.5427,0.7451,0.0113
BPR,cp_min_js,All,0.1489,0.0767,1.5564,0.7725,0.0071
BPR,mmr,HighPop,0.1268,0.0333,-0.3252,0.5869,0.0392
BPR,mmr,LowPop,0.0216,0.0171,0.128,0.3988,0.0048
BPR,mmr,MedPop,0.0899,0.0274,-0.1149,0.6084,0.0143
BPR,mmr,All,0.0836,0.0265,-0.1084,0.6466,0.0079
BPR,geo,HighPop,0.1311,0.0474,-0.0437,0.6572,0.0931
BPR,geo,LowPop,0.0345,0.0291,0.977,0.5123,0.0344
BPR,geo,MedPop,0.1066,0.041,0.3235,0.7073,0.0761
BPR,geo,All,0.0971,0.0399,0.3807,0.7526,0.0629
BPR,borda,HighPop,0.1593,0.0616,0.239,0.6926,0.0736
BPR,borda,LowPop,0.0407,0.0308,1.0294,0.4869,0.0178
BPR,borda,MedPop,0.1207,0.0489,0.5667,0.7102,0.0535
BPR,borda,All,0.1124,0.0478,0.5937,0.7421,0.0424
BPR,schulze,HighPop,0.2224,0.0862,0.7513,0.7657,0.066
BPR,schulze,LowPop,0.0457,0.0437,1.8624,0.5825,0.0331
BPR,schulze,MedPop,0.1457,0.0681,1.2052,0.7906,0.0572
BPR,schulze,All,0.141,0.0668,1.2458,0.8118,0.0495
USG,baseline,HighPop,0.2358,0.1286,1.6424,0.4591,0.1491
USG,baseline,LowPop,0.0306,0.1548,10.7837,0.782,0.3282
USG,baseline,MedPop,0.1606,0.134,3.4161,0.7247,0.2231
USG,baseline,All,0.1496,0.1371,4.5349,0.8076,0.2279
USG,cp,HighPop,0.2338,0.1253,1.5728,0.8248,0.0765
USG,cp,LowPop,0.0306,0.1353,9.0601,0.8118,0.083
USG,cp,MedPop,0.1572,0.1287,3.2405,0.9097,0.1152
USG,cp,All,0.1472,0.1294,4.0709,0.9205,0.0949
USG,cp_min_js,HighPop,0.2175,0.1168,1.3966,0.8442,0.0146
USG,cp_min_js,LowPop,0.029,0.1247,7.9484,0.7673,0.0437
USG,cp_min_js,MedPop,0.1445,0.1189,2.9022,0.8793,0.0364
USG,cp_min_js,All,0.136,0.1196,3.6103,0.8865,0.0329
USG,mmr,HighPop,0.1123,0.0403,-0.1788,0.7321,0.0166
USG,mmr,LowPop,0.0241,0.0379,1.8291,0.6551,0.088
USG,mmr,MedPop,0.0834,0.0401,0.3053,0.8,0.0527
USG,mmr,All,0.0773,0.0397,0.5132,0.8143,0.0503
USG,geo,HighPop,0.1134,0.0526,0.0664,0.7024,0.1177
USG,geo,LowPop,0.021,0.0512,2.8671,0.7789,0.2548
USG,geo,MedPop,0.0825,0.0522,0.697,0.803,0.1789
USG,geo,All,0.0764,0.0521,1.0049,0.8429,0.1805
USG,borda,HighPop,0.1394,0.0777,0.5827,0.7985,0.0304
USG,borda,LowPop,0.0349,0.0755,4.5518,0.7539,0.1164
USG,borda,MedPop,0.1037,0.0776,1.5273,0.8583,0.0704
USG,borda,All,0.0971,0.0772,1.9433,0.8726,0.0702
USG,schulze,HighPop,0.1963,0.1038,1.1177,0.8216,0.0305
USG,schulze,LowPop,0.0288,0.1059,6.6522,0.7997,0.1217
USG,schulze,MedPop,0.1298,0.1053,2.4529,0.8791,0.0675
USG,schulze,All,0.1229,0.1051,3.0257,0.8944,0.0694
