dataset,model,method,user_group,ndcg,arp,poplift,js,gini
foursquaretky,LORE,baseline,HighPop,0.0057,0.0062,-0.8740,0.2391,0.4550
foursquaretky,LORE,baseline,LowPop,0.0209,0.0069,-0.4715,0.0723,0.3626
foursquaretky,LORE,baseline,MedPop,0.0156,0.0064,-0.7920,0.1600,0.5275
foursquaretky,LORE,baseline,All,0.0147,0.0064,-0.7443,0.1512,0.5595
foursquaretky,LORE,cp,HighPop,0.0183 (+222.77%**),0.0149 (+139.93%**),-0.6986 (+20.06%**),0.0015681047138264926,0.5302577281191811
foursquaretky,LORE,cp,LowPop,0.0280 (+33.99%),0.0119 (+72.26%**),-0.1371 (+70.92%**),0.0011662818553687731,0.39018462316640967
foursquaretky,LORE,cp,MedPop,0.0290 (+85.96%**),0.0132 (+107.75%**),-0.5712 (+27.88%**),0.0013347160399988815,0.5889073729222682
foursquaretky,LORE,cp,All,0.0267 (+81.76%**),0.0133 (+106.32%**),-0.5099 (+31.50%**),0.001243223676544298,0.6221721347553744
foursquaretky,LORE,cp_min_js,HighPop,0.0183 (+222.77%**),0.0149 (+139.93%**),-0.6986 (+20.06%**),0.0015681047138264926,0.5302577281191811
foursquaretky,LORE,cp_min_js,LowPop,0.0280 (+33.99%),0.0119 (+72.26%**),-0.1371 (+70.92%**),0.0011662818553687731,0.39018462316640967
foursquaretky,LORE,cp_min_js,MedPop,0.0290 (+85.96%**),0.0132 (+107.75%**),-0.5712 (+27.88%**),0.0013347160399988815,0.5889073729222682
foursquaretky,LORE,cp_min_js,All,0.0267 (+81.76%**),0.0133 (+106.32%**),-0.5099 (+31.50%**),0.001243223676544298,0.6221721347553744
foursquaretky,LORE,borda,HighPop,0.011791071384629563,0.010299572039942934,-0.7922279435840771,0.06755184740005019,0.47414537712895366
foursquaretky,LORE,borda,LowPop,0.024292271130684096,0.009046124583927732,-0.3285885712818036,0.02304372942438509,0.36864997615640926
foursquaretky,LORE,borda,MedPop,0.021731808259970113,0.009330321762561425,-0.6972889432266656,0.051551999854992876,0.5375668276972587
foursquaretky,LORE,borda,All,0.020255753459044804,0.009467332382310978,-0.6425366689091756,0.046039925285042554,0.5704434715106339
