dataset,model,normalization,label,relevance,calibration,diversity,geo,ndcg,platform,provider,civic,jsd_raw,ild_raw,geo_ild_km_raw,poplift_raw,gini_raw,elapsed_s
foursquaretky,LightGCN,bounded,corner_platform,1.0,3.0,0.0,0.0,0.11655764177550192,0.8982031073836078,0.8800691474315738,0.2309475962606549,0.10179689261639221,0.8800691474315738,4.5296818042268985,1.1987800968364482,0.8862436254665896,24.810569286346436
foursquaretky,LightGCN,bounded,corner_provider,1.0,0.0,3.0,0.0,0.10810324503737562,0.804391213668022,0.9174638631236693,0.17694613019469044,0.19560878633197792,0.9174638631236693,5.658860858943893,1.090205019903539,0.8908383966593315,24.401986837387085
foursquaretky,LightGCN,bounded,corner_civic,1.0,0.0,0.0,3.0,0.11338799780535332,0.7845778055295392,0.8546388993277413,0.4862487259085309,0.21542219447046085,0.8546388993277413,1.7930040178376652,1.0015374277600053,0.9033647021712843,24.474385261535645
foursquaretky,LightGCN,bounded,centroid,1.0,1.0,1.0,1.0,0.11631386421468932,0.8461546919681491,0.885784269006835,0.2924795292717474,0.15384530803185087,0.885784269006835,3.202803167430308,1.1326939030048282,0.8941204082705582,24.364617586135864
foursquaretky,LightGCN,bounded,random_0,1.0,0.6510370355367876,1.829326183627715,0.5196367808354976,0.11390618997615085,0.8374853433351837,0.9013272000721552,0.23238120168440754,0.16251465666481635,0.9013272000721552,4.081084380694194,1.1350376694192919,0.8919525036238143,24.66539716720581
foursquaretky,LightGCN,bounded,random_1,1.0,1.5212364475792237,0.4961482457115853,0.9826153067091912,0.11839674520911032,0.8626203131115439,0.8780208977482226,0.30797483877071447,0.13737968688845612,0.8780208977482226,3.121525942319216,1.1378365329242328,0.8928922168730802,24.480587244033813
foursquaretky,LightGCN,bounded,random_2,1.0,0.16827235628079754,2.117748232026584,0.7139794116926186,0.11326712226993355,0.8045634040722431,0.9023343193626884,0.24298439080259568,0.1954365959277568,0.9023343193626884,3.8517021599086454,1.1230284193001994,0.8969912953352309,24.377871990203857
foursquaretky,LightGCN,bounded,random_3,1.0,0.34544997508882735,0.44132908044285335,2.2132209444683193,0.11550178519718397,0.8036979335536639,0.8663119712988901,0.416906058327817,0.19630206644633605,0.8663119712988901,2.127013997182534,1.039199163535036,0.9012915048780672,24.43867015838623
foursquaretky,LightGCN,bounded,random_4,1.0,0.7030504688366359,1.5475654977234556,0.7493840334399082,0.115572849513452,0.8361461012436691,0.8957491278121202,0.2569655961426994,0.16385389875633088,0.8957491278121202,3.66412347410083,1.1354025868424538,0.8937967810014495,24.497124433517456
foursquaretky,LightGCN,bounded,random_5,1.0,2.1481586042293332,0.571430584989733,0.28041081078093366,0.11583546618274124,0.8860073855546756,0.8867321396189104,0.2402979242095624,0.11399261444532442,0.8867321396189104,4.142018930962258,1.1766196401175966,0.8882785943355839,24.37305974960327
foursquaretky,LightGCN,bounded,random_6,1.0,2.0507355209222773,0.02649961476008688,0.9227648643176358,0.11767851578485952,0.8765015574042715,0.869494258386392,0.318557716177201,0.12349844259572848,0.869494258386392,3.076029095351262,1.1348247165223402,0.8918381938759415,24.307535886764526
foursquaretky,LightGCN,bounded,random_7,1.0,0.13810763165655338,2.0278016753241497,0.8340906930192968,0.11381510436678298,0.801069070231995,0.9005684330669735,0.2546414241684547,0.19893092976800497,0.9005684330669735,3.6520982652465275,1.1170729341983854,0.8979045716388654,24.316102981567383
foursquaretky,LightGCN,bounded,random_8,1.0,1.559265890100384,0.4669447187392338,0.9737893911603821,0.11812549249319054,0.8638310540416974,0.8775435256904488,0.30727282318001803,0.13616894595830267,0.8775435256904488,3.1226833559737175,1.1400411258610548,0.8927516954944534,24.43886160850525
foursquaretky,LightGCN,bounded,random_9,1.0,0.4946652525630196,2.226023352477561,0.2793113949594195,0.11273505471449466,0.8314259043163379,0.9074370893222035,0.20770555069062782,0.16857409568366213,0.9074370893222035,4.669376402715801,1.1322145211867587,0.8908217233583934,24.359421968460083
foursquaretky,LightGCN,bounded,random_10,1.0,1.0046075767116807,0.9492324344843563,1.0461599888039625,0.1167081809258905,0.8451560611153615,0.8844409721153648,0.2984283313867415,0.15484393888463852,0.8844409721153648,3.1425915046001607,1.1281999578319222,0.8942745987517556,24.390639781951904
foursquaretky,LightGCN,bounded,random_11,1.0,0.2529773020437339,1.3754590490423104,1.3715636489139558,0.11581643071261573,0.80402724802586,0.8877311562060545,0.3159389466863711,0.19597275197414002,0.8877311562060545,2.90505455113514,1.1017429038911901,0.8999027390778613,24.347574710845947
foursquaretky,LightGCN,bounded,random_12,1.0,0.42363391369383885,2.3774948102180407,0.19887127608812077,0.11119023927854235,0.8286144280972063,0.9100102273779095,0.20010604266611537,0.17138557190279363,0.9100102273779095,4.900914836298986,1.125554436503475,0.8903593772296784,24.4744131565094
foursquaretky,LightGCN,bounded,random_13,1.0,1.5625672418299346,0.552882134304649,0.8845506238654164,0.11797486546318885,0.8664190164069926,0.8800667014256675,0.2990059446928595,0.13358098359300744,0.8800667014256675,3.228668763768969,1.1389546157865749,0.8917108158651715,24.46013832092285
foursquaretky,LightGCN,bounded,random_14,1.0,0.5661103607806878,0.20518689703174256,2.22870274218757,0.11542710524716791,0.8141220535040754,0.8616558488398219,0.4295875186215122,0.18587794649592457,0.8616558488398219,2.0914950102318466,1.0412084197497276,0.9006256243099732,24.4325270652771
foursquaretky,LightGCN,bounded,random_15,1.0,0.23133856964191712,0.29126505725666996,2.477396373101413,0.11487442531453605,0.7964283597650037,0.8620227113621689,0.44095056764830465,0.20357164023499624,0.8620227113621689,2.0083709167339374,1.029324661530697,0.9025094820010965,24.40293860435486
foursquaretky,LightGCN,bounded,random_16,1.0,0.9487369120310547,0.9004823638864461,1.1507807240824992,0.11716286639759912,0.8408115354066501,0.8827173546931933,0.30981291844943276,0.15918846459334984,0.8827173546931933,3.0143877314229024,1.1186858316676767,0.8953601658317498,24.303771018981934
foursquaretky,LightGCN,bounded,random_17,1.0,1.8007594311731712,0.523384869111644,0.6758556997151848,0.11764892052377275,0.8753384272920006,0.8818198561802773,0.28060925977925893,0.12466157270799942,0.8818198561802773,3.4879163930477937,1.1533242272940252,0.890393700196024,24.58197593688965
foursquaretky,LightGCN,bounded,random_18,1.0,1.3864468872419153,1.2834065387054405,0.3301465740526442,0.11603735544674747,0.869853997165233,0.8969118207838955,0.2261136090383414,0.13014600283476693,0.8969118207838955,4.30189782559979,1.1549617409966537,0.888770531818216,24.400047063827515
