model,method,group,ndcg,arp,poplift,gini,js
USG,borda,HighPop,0.0593,0.0065,0.4305,0.671,0.0557
USG,borda,LowPop,0.0243,0.0026,0.7549,0.4979,0.0377
USG,borda,MedPop,0.031,0.0055,1.3601,0.6839,0.0984
USG,borda,All,0.0353,0.0051,1.0531,0.6997,0.0698
USG,schulze,HighPop,0.0668,0.0077,0.691,0.7156,0.0468
USG,schulze,LowPop,0.0288,0.0028,0.8853,0.5634,0.0488
USG,schulze,MedPop,0.0324,0.0059,1.5036,0.7432,0.1033
USG,schulze,All,0.0386,0.0056,1.2174,0.7556,0.0746
LORE,borda,HighPop,0.0215,0.0028,-0.3926,0.5241,0.0153
LORE,borda,LowPop,0.0515,0.0014,-0.0626,0.4458,0.0143
LORE,borda,MedPop,0.0304,0.002,-0.1201,0.4687,0.0066
LORE,borda,All,0.0329,0.0021,-0.1631,0.5093,0.008
LORE,schulze,HighPop,0.0235,0.0027,-0.4046,0.492,0.0354
LORE,schulze,LowPop,0.0529,0.0015,-0.018,0.4232,0.0053
LORE,schulze,MedPop,0.0282,0.0021,-0.1121,0.4416,0.0091
LORE,schulze,All,0.0322,0.0021,-0.1518,0.4795,0.0102
BPR,borda,HighPop,0.0596,0.0067,0.4769,0.6656,0.1018
BPR,borda,LowPop,0.0228,0.003,1.0507,0.5721,0.0661
BPR,borda,MedPop,0.0279,0.0059,1.5443,0.7136,0.157
BPR,borda,All,0.0332,0.0055,1.2321,0.7305,0.1119
BPR,schulze,HighPop,0.0674,0.0077,0.6889,0.6874,0.0618
BPR,schulze,LowPop,0.0192,0.003,1.0375,0.629,0.0678
BPR,schulze,MedPop,0.0275,0.006,1.5811,0.7547,0.125
BPR,schulze,All,0.0338,0.0057,1.294,0.7653,0.0931
