model,method,group,ndcg,arp,poplift,gini,js
USG,baseline,HighPop,0.0827,0.0094,1.0661,0.6638,0.1605
USG,baseline,LowPop,0.0276,0.0033,1.323,0.5723,0.1819
USG,baseline,MedPop,0.0397,0.0075,2.2118,0.7626,0.2842
USG,baseline,All,0.0459,0.007,1.8049,0.7777,0.2158
USG,cp,HighPop,0.0827,0.0093,1.0605,0.6849,0.1445
USG,cp,LowPop,0.0323,0.0022,0.4271,0.498,0.0002
USG,cp,MedPop,0.04,0.0075,2.2066,0.7649,0.2763
USG,cp,All,0.047,0.0068,1.6215,0.781,0.1177
USG,cp_min_js,HighPop,0.0624,0.0075,0.6456,0.7284,0.0013
USG,cp_min_js,LowPop,0.0323,0.0022,0.4271,0.498,0.0002
USG,cp_min_js,MedPop,0.0327,0.0048,1.0415,0.6408,0.0004
USG,cp_min_js,All,0.0386,0.0048,0.8395,0.6684,0.0002
USG,mmr,HighPop,0.0306,0.0033,-0.2749,0.5137,0.0201
USG,mmr,LowPop,0.0259,0.0019,0.3025,0.487,0.001
USG,mmr,MedPop,0.0195,0.0028,0.2092,0.5196,0.0007
USG,mmr,All,0.023,0.0027,0.1311,0.55,0.0013
USG,geo,HighPop,0.0451,0.0051,0.1377,0.6691,0.0185
USG,geo,LowPop,0.0266,0.0022,0.5377,0.4883,0.0097
USG,geo,MedPop,0.0244,0.0044,0.9096,0.6885,0.056
USG,geo,All,0.029,0.0041,0.6809,0.7077,0.0346
USG,borda,HighPop,0.0593,0.0065,0.4305,0.671,0.0557
USG,borda,LowPop,0.0243,0.0026,0.7549,0.4979,0.0377
USG,borda,MedPop,0.031,0.0055,1.3601,0.6839,0.0984
USG,borda,All,0.0353,0.0051,1.0531,0.6997,0.0698
USG,schulze,HighPop,0.0668,0.0077,0.691,0.7156,0.0468
USG,schulze,LowPop,0.0288,0.0028,0.8853,0.5634,0.0488
USG,schulze,MedPop,0.0324,0.0059,1.5036,0.7432,0.1033
USG,schulze,All,0.0386,0.0056,1.2174,0.7556,0.0746
LORE,baseline,HighPop,0.018,0.0024,-0.4764,0.47,0.0769
