method,user_group,ndcg,arp,poplift
BPR,HighPop,0.0800,0.0093,1.0542
LORE,HighPop,-77.48% **,-74.34% **,-145.19% **
USG,HighPop,+3.44%,+0.54%,+1.13%
cp,HighPop,+0.00%,-0.01%,-0.04%
cp_min_js,HighPop,-21.07% **,-18.58% **,-37.78% **
mmr,HighPop,-63.96% **,-60.04% **,-117.78% **
geo,HighPop,-34.95% **,-41.48% **,-80.21% **
borda,HighPop,-25.49% **,-28.25% **,-54.77% **
schulze,HighPop,-15.70% **,-17.55% **,-34.65% **
BPR,LowPop,0.0221,0.0040,1.7702
LORE,LowPop,+154.84% **,-63.60% **,-101.15% **
USG,LowPop,+24.87%,-15.61% **,-25.27% **
cp,LowPop,+24.88%,-38.46% **,-65.20% **
cp_min_js,LowPop,+24.88%,-38.46% **,-65.20% **
mmr,LowPop,-7.99%,-47.56% **,-75.49% **
geo,LowPop,+3.39%,-35.78% **,-56.55% **
borda,LowPop,+3.37%,-24.96% **,-40.65% **
schulze,LowPop,-13.15%,-25.21% **,-41.39% **
BPR,MedPop,0.0350,0.0079,2.3983
LORE,MedPop,-22.29%,-75.92% **,-107.50% **
USG,MedPop,+13.38%,-5.00% **,-7.77% **
cp,MedPop,+0.65%,-0.14% **,-0.22% **
cp_min_js,MedPop,-27.42% **,-35.00% **,-50.67% **
mmr,MedPop,-47.13% **,-59.43% **,-84.34% **
geo,MedPop,-41.49% **,-40.35% **,-57.17% **
borda,MedPop,-20.40% **,-25.11% **,-35.61% **
schulze,MedPop,-21.50% **,-23.72% **,-34.07% **
BPR,All,0.0414,0.0074,2.0039
LORE,All,-24.73% **,-74.20% **,-110.34% **
USG,All,+10.77% **,-4.74% **,-9.93% **
cp,All,+2.98%,-4.21% **,-11.68% **
cp_min_js,All,-19.39% **,-31.24% **,-51.88% **
mmr,All,-49.46% **,-58.31% **,-86.30% **
geo,All,-34.18% **,-40.14% **,-59.49% **
borda,All,-19.84% **,-25.88% **,-38.51% **
schulze,All,-18.37% **,-22.33% **,-35.43% **
