dataset,model,method,user_group,ndcg,arp,poplift,js,gini
yelp,USG,baseline,HighPop,0.0827,0.0094,1.0661,0.1605,0.6638
yelp,USG,baseline,LowPop,0.0276,0.0033,1.3230,0.1819,0.5723
yelp,USG,baseline,MedPop,0.0397,0.0075,2.2118,0.2842,0.7626
yelp,USG,baseline,All,0.0459,0.0070,1.8049,0.2158,0.7777
yelp,USG,cp,HighPop,0.0827 (-0.02%),0.0093 (-0.26%),1.0605 (-0.53%),0.14452472576171996,0.6849414414414413
yelp,USG,cp,LowPop,0.0323 (+17.22%),0.0022 (-35.61%**),0.4271 (-67.72%**),0.00021626107798937725,0.49802322661644705
yelp,USG,cp,MedPop,0.0400 (+0.70%),0.0075 (-0.15%),2.2066 (-0.23%),0.276343099839592,0.7648634361233482
yelp,USG,cp,All,0.0470 (+2.42%),0.0068 (-3.55%),1.6215 (-10.16%**),0.1176788190424022,0.781026883175462
yelp,USG,cp_min_js,HighPop,0.0624 (-24.62%),0.0075 (-19.45%**),0.6456 (-39.44%**),0.0013241938343857363,0.7283535353535352
yelp,USG,cp_min_js,LowPop,0.0323 (+17.22%),0.0022 (-35.61%**),0.4271 (-67.72%**),0.00021626107798937725,0.49802322661644705
yelp,USG,cp_min_js,MedPop,0.0327 (-17.51%),0.0048 (-35.75%**),1.0415 (-52.91%**),0.0003865140399441909,0.6408184408184396
yelp,USG,cp_min_js,All,0.0386 (-15.90%),0.0048 (-31.41%**),0.8395 (-53.49%**),0.00021807841867699284,0.6683686699804186
yelp,USG,mmr,HighPop,0.0306 (-62.96%**),0.0033 (-64.39%**),-0.2749 (-125.79%**),0.020096786278010995,0.5136778242677835
yelp,USG,mmr,LowPop,0.0259 (-6.12%),0.0019 (-43.29%**),0.3025 (-77.13%**),0.0009803017177366473,0.4869869745411478
yelp,USG,mmr,MedPop,0.0195 (-50.77%**),0.0028 (-62.33%**),0.2092 (-90.54%**),0.0006762074658531587,0.5196101794645499
yelp,USG,mmr,All,0.0230 (-49.80%**),0.0027 (-61.07%**),0.1311 (-92.74%**),0.0013380089114570666,0.5499877733478342
yelp,USG,geo,HighPop,0.0451 (-45.44%**),0.0051 (-45.09%**),0.1377 (-87.08%**),0.01847175267810538,0.6690828729281768
yelp,USG,geo,LowPop,0.0266 (-3.37%),0.0022 (-33.11%**),0.5377 (-59.35%**),0.0096930171272174,0.4883147301006404
yelp,USG,geo,MedPop,0.0244 (-38.54%**),0.0044 (-40.82%**),0.9096 (-58.88%**),0.056012021500311475,0.6884650172918334
yelp,USG,geo,All,0.0290 (-36.80%**),0.0041 (-41.22%**),0.6809 (-62.28%**),0.0345680151871614,0.7077079817351603
yelp,USG,borda,HighPop,0.0593 (-28.30%),0.0065 (-30.69%**),0.4305 (-59.62%**),0.05565546946953528,0.6710130353817507
yelp,USG,borda,LowPop,0.0243 (-11.67%),0.0026 (-23.15%**),0.7549 (-42.94%**),0.03772216644823803,0.4979415094339631
yelp,USG,borda,MedPop,0.0310 (-21.87%),0.0055 (-26.68%**),1.3601 (-38.51%**),0.09840671286014237,0.6838908969210165
yelp,USG,borda,All,0.0353 (-22.96%),0.0051 (-27.41%**),1.0531 (-41.65%**),0.06984746129230576,0.6997430807541798
yelp,USG,schulze,HighPop,0.0668 (-19.27%),0.0077 (-17.79%**),0.6910 (-35.19%**),0.046796066880968906,0.7156367980884119
yelp,USG,schulze,LowPop,0.0288 (+4.43%),0.0028 (-17.67%**),0.8853 (-33.09%**),0.04884056442801622,0.5633542188805359
yelp,USG,schulze,MedPop,0.0324 (-18.37%),0.0059 (-21.71%**),1.5036 (-32.02%**),0.10332922121541405,0.7431703001579779
yelp,USG,schulze,All,0.0386 (-15.96%),0.0056 (-20.28%**),1.2174 (-32.55%**),0.0745642470048509,0.7556342117429498
yelp,LORE,baseline,HighPop,0.0180,0.0024,-0.4764,0.0769,0.4700
yelp,LORE,baseline,LowPop,0.0563,0.0014,-0.0203,0.0114,0.4117
yelp,LORE,baseline,MedPop,0.0272,0.0019,-0.1798,0.0253,0.4141
yelp,LORE,baseline,All,0.0312,0.0019,-0.2072,0.0263,0.4505
yelp,LORE,cp,HighPop,0.0306 (+70.15%),0.0032 (+34.00%**),-0.3043 (+36.12%**),0.0009923308840807362,0.5203129565551727
yelp,LORE,cp,LowPop,0.0557 (-0.93%),0.0014 (-0.06%),-0.0210 (-3.66%),0.011455259473489621,0.412926937269367
yelp,LORE,cp,MedPop,0.0320 (+17.55%),0.0022 (+16.65%**),-0.0473 (+73.71%**),0.0006889784379357534,0.4437615749485877
yelp,LORE,cp,All,0.0365 (+16.96%),0.0023 (+18.46%**),-0.0934 (+54.91%**),0.0019080652598900474,0.48108316488005576
yelp,LORE,cp_min_js,HighPop,0.0306 (+70.15%),0.0032 (+34.00%**),-0.3043 (+36.12%**),0.0009923308840807362,0.5203129565551727
yelp,LORE,cp_min_js,LowPop,0.0496 (-11.86%),0.0015 (+5.37%),0.0052 (+125.79%),0.00034797504995199603,0.41652309236947427
yelp,LORE,cp_min_js,MedPop,0.0320 (+17.55%),0.0022 (+16.65%**),-0.0473 (+73.71%**),0.0006889784379357534,0.4437615749485877
yelp,LORE,cp_min_js,All,0.0352 (+13.01%),0.0023 (+19.29%**),-0.0882 (+57.44%**),0.000435769821327963,0.4816541282524205
yelp,LORE,mmr,HighPop,0.0071 (-60.42%),0.0013 (-45.32%**),-0.7145 (-49.97%**),0.22601985118120443,0.6888206106870232
yelp,LORE,mmr,LowPop,0.0437 (-22.30%),0.0010 (-31.77%**),-0.3337 (-1544.72%**),0.09104489675195226,0.6239784630445425
yelp,LORE,mmr,MedPop,0.0208 (-23.46%),0.0011 (-41.37%**),-0.5174 (-187.77%**),0.13130375896445542,0.700071808278867
yelp,LORE,mmr,All,0.0227 (-27.31%),0.0011 (-40.90%**),-0.5201 (-150.98%**),0.13332546256176048,0.735865788423154
yelp,LORE,geo,HighPop,0.0207 (+14.98%),0.0023 (-2.42%),-0.4910 (-3.06%),0.08368423610579825,0.4707408906882615
yelp,LORE,geo,LowPop,0.0557 (-0.91%),0.0013 (-6.91%),-0.0956 (-371.31%),0.02109889828582366,0.4118148423926482
yelp,LORE,geo,MedPop,0.0263 (-3.24%),0.0018 (-6.65%),-0.2338 (-30.07%),0.034713346173519774,0.4273778251936281
yelp,LORE,geo,All,0.0311 (-0.30%),0.0018 (-5.63%),-0.2576 (-24.33%**),0.0357013841052092,0.4554494661921872
yelp,LORE,borda,HighPop,0.0215 (+19.62%),0.0028 (+17.42%**),-0.3926 (+17.59%**),0.015325852798211283,0.524072546773579
yelp,LORE,borda,LowPop,0.0515 (-8.38%),0.0014 (-3.75%),-0.0626 (-208.75%),0.01429105906682103,0.44583131231473705
yelp,LORE,borda,MedPop,0.0304 (+11.71%),0.0020 (+7.50%**),-0.1201 (+33.19%**),0.006574648523023254,0.4686764258214763
yelp,LORE,borda,All,0.0329 (+5.37%),0.0021 (+8.28%**),-0.1631 (+21.28%),0.007965529896678047,0.5093298463550266
yelp,LORE,schulze,HighPop,0.0235 (+30.73%),0.0027 (+14.50%**),-0.4046 (+15.08%),0.03535623676576838,0.4920000000000019
yelp,LORE,schulze,LowPop,0.0529 (-5.92%),0.0015 (+0.91%),-0.0180 (+11.08%),0.005349024559071823,0.4232291823899328
yelp,LORE,schulze,MedPop,0.0282 (+3.54%),0.0021 (+8.64%**),-0.1121 (+37.67%**),0.009095169908876323,0.44158611526325575
yelp,LORE,schulze,All,0.0322 (+3.27%),0.0021 (+8.93%**),-0.1518 (+26.76%**),0.010246506452382596,0.47952316109423876
yelp,BPR,baseline,HighPop,0.0800,0.0093,1.0542,0.1591,0.6515
yelp,BPR,baseline,LowPop,0.0221,0.0040,1.7702,0.2660,0.6374
yelp,BPR,baseline,MedPop,0.0350,0.0079,2.3983,0.3105,0.7481
yelp,BPR,baseline,All,0.0414,0.0074,2.0039,0.2545,0.7692
yelp,BPR,cp,HighPop,0.0800 (+0.00%),0.0093 (-0.01%),1.0538 (-0.04%),0.15665400738610055,0.651469816272966
yelp,BPR,cp,LowPop,0.0276 (+24.88%),0.0024 (-38.46%**),0.6161 (-65.20%**),0.0007578928456171757,0.5890201028518007
yelp,BPR,cp,MedPop,0.0352 (+0.65%),0.0079 (-0.14%),2.3930 (-0.22%),0.2989650393708432,0.753261006289308
yelp,BPR,cp,All,0.0427 (+2.98%),0.0071 (-4.21%),1.7698 (-11.68%**),0.12482021165679269,0.7982176899063474
yelp,BPR,cp_min_js,HighPop,0.0631 (-21.07%),0.0076 (-18.58%**),0.6559 (-37.78%**),0.010564830360838814,0.7132016460905349
yelp,BPR,cp_min_js,LowPop,0.0276 (+24.88%),0.0024 (-38.46%**),0.6161 (-65.20%**),0.0007578928456171757,0.5890201028518007
yelp,BPR,cp_min_js,MedPop,0.0254 (-27.42%),0.0051 (-35.00%**),1.1831 (-50.67%**),0.0069966021367673225,0.7037135747169344
yelp,BPR,cp_min_js,All,0.0334 (-19.39%),0.0051 (-31.24%**),0.9643 (-51.88%**),0.004227193868909431,0.7261332190802625
yelp,BPR,mmr,HighPop,0.0288 (-63.96%**),0.0037 (-60.04%**),-0.1875 (-117.78%**),0.019215738452248717,0.6177748592870547
yelp,BPR,mmr,LowPop,0.0203 (-7.99%),0.0021 (-47.56%**),0.4339 (-75.49%**),0.010332485561262438,0.5403794549266253
yelp,BPR,mmr,MedPop,0.0185 (-47.13%**),0.0032 (-59.43%**),0.3755 (-84.34%**),0.030423122401580127,0.6191548294380147
yelp,BPR,mmr,All,0.0209 (-49.46%**),0.0031 (-58.31%**),0.2746 (-86.30%**),0.021842358056124916,0.6451910519504532
yelp,BPR,geo,HighPop,0.0520 (-34.95%),0.0054 (-41.48%**),0.2086 (-80.21%**),0.07018964138738866,0.7004383561643834
yelp,BPR,geo,LowPop,0.0228 (+3.39%),0.0025 (-35.78%**),0.7692 (-56.55%**),0.03194642122918308,0.5784995408631781
yelp,BPR,geo,MedPop,0.0205 (-41.49%**),0.0047 (-40.35%**),1.0271 (-57.17%**),0.09876070546930146,0.7183317230273752
yelp,BPR,geo,All,0.0273 (-34.18%**),0.0044 (-40.14%**),0.8118 (-59.49%**),0.06975532799935774,0.7418537931034483
yelp,BPR,borda,HighPop,0.0596 (-25.49%),0.0067 (-28.25%**),0.4769 (-54.77%**),0.10180595419984406,0.6655927367055772
yelp,BPR,borda,LowPop,0.0228 (+3.37%),0.0030 (-24.96%**),1.0507 (-40.65%**),0.06607290024345883,0.572092307692309
yelp,BPR,borda,MedPop,0.0279 (-20.40%),0.0059 (-25.11%**),1.5443 (-35.61%**),0.15704878673281775,0.7136353413654615
yelp,BPR,borda,All,0.0332 (-19.84%),0.0055 (-25.88%**),1.2321 (-38.51%**),0.11186666961151144,0.7305012718130726
yelp,BPR,schulze,HighPop,0.0674 (-15.70%),0.0077 (-17.55%**),0.6889 (-34.65%**),0.061760656471789015,0.6873692810457517
yelp,BPR,schulze,LowPop,0.0192 (-13.15%),0.0030 (-25.21%**),1.0375 (-41.39%**),0.06777756173328207,0.6290336507936507
yelp,BPR,schulze,MedPop,0.0275 (-21.50%),0.0060 (-23.72%**),1.5811 (-34.07%**),0.12499242663006802,0.7547199999999998
yelp,BPR,schulze,All,0.0338 (-18.37%),0.0057 (-22.33%**),1.2940 (-35.43%**),0.09314441245566084,0.7652629359286292
