dataset,model,method,user_group,ndcg,arp,poplift
brightkite,BPR,baseline,high,0.025513385930373757,0.022599706129303114,-0.5515020154601606
brightkite,BPR,baseline,medium,0.05026115262229328,0.02383641197872937,-0.42735635833114416
brightkite,BPR,baseline,low,0.05872842690781806,0.02392212426532324,-0.22452450787874725
brightkite,BPR,baseline,all,0.04700505414101432,0.023606213266163058,-0.4116191196664684
brightkite,BPR,cp,high,0.03602888182323138,0.028942065491183878,-0.42271616860333416
brightkite,BPR,cp,medium,0.06893456805961748,0.02813462076686267,-0.32773451176691576
brightkite,BPR,cp,low,0.0677233341782418,0.02518681780016794,-0.19081554378989302
brightkite,BPR,cp,all,0.062111184036065116,0.027706549118387987,-0.31934704953879467
brightkite,BPR,cp_min_js,high,0.03602888182323138,0.028942065491183878,-0.42271616860333416
brightkite,BPR,cp_min_js,medium,0.06893456805961748,0.02813462076686267,-0.32773451176691576
brightkite,BPR,cp_min_js,low,0.0677233341782418,0.02518681780016794,-0.19081554378989302
brightkite,BPR,cp_min_js,all,0.062111184036065116,0.027706549118387987,-0.31934704953879467
brightkite,BPR,upd,high,0.03232613064127321,0.04617023509655751,-0.10874991716026862
brightkite,BPR,upd,medium,0.06459626438849331,0.039951721242653136,-0.06033323633149963
brightkite,BPR,upd,low,0.05461967582533931,0.031625734676742255,-0.026338326406721048
brightkite,BPR,upd,all,0.056146919926418494,0.039530226700251976,-0.06321759051229785
brightkite,LORE,baseline,high,0.21026493169261898,0.03708228379513014,-0.2540508163694262
brightkite,LORE,baseline,medium,0.24732723284622332,0.03449062412538488,-0.1775560607181915
brightkite,LORE,baseline,low,0.25086751703599725,0.03438602015113352,0.08100978847680569
brightkite,LORE,baseline,all,0.2406228294534571,0.03498803526448356,-0.14114184200943933
brightkite,LORE,cp,high,0.21026493169261898,0.03708228379513014,-0.2540508163694262
brightkite,LORE,cp,medium,0.24870218279752562,0.035316960537363606,-0.1574699248916273
brightkite,LORE,cp,low,0.2708475035313006,0.0343755247691016,0.07683216563782355
brightkite,LORE,cp,all,0.2454437967232991,0.03548173803526439,-0.12992568508129707
brightkite,LORE,cp_min_js,high,0.22377697630537247,0.04059089000839631,-0.18898759732520104
brightkite,LORE,cp_min_js,medium,0.25925927688125583,0.03618387909319902,-0.13785393707937152
brightkite,LORE,cp_min_js,low,0.2537658084549982,0.032469563392107464,0.022760197461813268
brightkite,LORE,cp_min_js,all,0.25106412308082754,0.03632241813602005,-0.11595784222030045
brightkite,LORE,upd,high,0.11184126936197024,0.04919815281276236,-0.0556704959780392
brightkite,LORE,upd,medium,0.23908866627834058,0.04127728799328288,-0.03027606590096274
brightkite,LORE,upd,low,0.17852279114877764,0.032298488664987426,-0.012013493544978545
brightkite,LORE,upd,all,0.2015260118691537,0.04106570109151985,-0.0317024374451812
brightkite,USG,baseline,high,0.03541226465602679,0.023645046179680936,-0.5284143560660105
brightkite,USG,baseline,medium,0.034544996777528154,0.023769941225860642,-0.4289839127806506
brightkite,USG,baseline,low,0.060939202595891154,0.024282115869017632,-0.21515336795015932
