dataset,model,method,user_group,ndcg,arp,poplift
foursquaretky,BPR,baseline,high,0.03201683019039643,0.018540299572039943,-0.4350346264563068
foursquaretky,BPR,baseline,medium,0.02300522869311831,0.018819147249960373,-0.4188053010803193
foursquaretky,BPR,baseline,low,0.013465178556149104,0.019116856871136456,-0.37636077329947426
foursquaretky,BPR,baseline,all,0.02289953896518008,0.0188229196386115,-0.41356226059934775
foursquaretky,BPR,cp,high,0.030602672064154485,0.014779362815026155,-0.5409862279290515
foursquaretky,BPR,cp,medium,0.02648403953041992,0.018742114439689327,-0.4211629701851694
foursquaretky,BPR,cp,low,0.015568277734720627,0.018191512125534947,-0.41268408828941044
foursquaretky,BPR,cp,all,0.025124613678026965,0.0178394436519258,-0.44343184535479335
foursquaretky,BPR,cp_min_js,high,0.030602672064154485,0.014779362815026155,-0.5409862279290515
foursquaretky,BPR,cp_min_js,medium,0.026437934142013095,0.01342494848628944,-0.5882766008263477
foursquaretky,BPR,cp_min_js,low,0.01202879070118758,0.011949476937708032,-0.6131386896781827
foursquaretky,BPR,cp_min_js,all,0.02438905303827627,0.01340073704232049,-0.583790944017255
foursquaretky,BPR,upd,high,0.027533391651751855,0.03360116500237755,-0.11453846929103842
foursquaretky,BPR,upd,medium,0.02047909342615168,0.034051553336503386,-0.11847431802440105
foursquaretky,BPR,upd,low,0.008810303107631458,0.033405967665240136,-0.10964751588934692
foursquaretky,BPR,upd,all,0.01955619500756767,0.03383235853542558,-0.11592178785071763
foursquaretky,LORE,baseline,high,0.025321851494653044,0.008556823585354255,-0.7212650321965106
foursquaretky,LORE,baseline,medium,0.04935424584211274,0.008419757489300989,-0.7463331327370846
foursquaretky,LORE,baseline,low,0.06429583024744452,0.008556823585354255,-0.7263275993750444
foursquaretky,LORE,baseline,all,0.047536083853687135,0.008474583927722303,-0.7373184059565627
foursquaretky,LORE,cp,high,0.029866790679974494,0.012084046600095105,-0.617018685901138
foursquaretky,LORE,cp,medium,0.05117940018988887,0.011047551117451251,-0.6636971783439161
foursquaretky,LORE,cp,low,0.06166272857735121,0.009477888730385168,-0.6911836548930846
foursquaretky,LORE,cp,all,0.04901354396539845,0.010940917736566804,-0.6598587751651944
foursquaretky,LORE,cp_min_js,high,0.029866790679974494,0.012084046600095105,-0.617018685901138
foursquaretky,LORE,cp_min_js,medium,0.05117940018988887,0.011047551117451251,-0.6636971783439161
foursquaretky,LORE,cp_min_js,low,0.05532957843666697,0.010147051830718014,-0.6669651097849609
foursquaretky,LORE,cp_min_js,all,0.04774691393726161,0.011074750356633375,-0.6550150661435683
foursquaretky,LORE,upd,high,0.05525752724977758,0.027946980504041843,-0.23488824880945336
foursquaretky,LORE,upd,medium,0.06757186823783037,0.02841547788873036,-0.2395116420485204
foursquaretky,LORE,upd,low,0.06259027896186245,0.028872919638611504,-0.20741234358378022
foursquaretky,LORE,upd,all,0.06411268218502614,0.02841326676176889,-0.23216710370775837
foursquaretky,USG,baseline,high,0.4826617079898249,0.03853435568235854,0.23445964273406703
foursquaretky,USG,baseline,medium,0.3224056508585576,0.04296088920589634,0.32398695018387863
foursquaretky,USG,baseline,low,0.09380600301221775,0.06054422253922968,0.9497912756001182
foursquaretky,USG,baseline,all,0.308736932715543,0.0455922491678555,0.43124235377716436
foursquaretky,USG,cp,high,0.4826617079898249,0.03853435568235854,0.23445964273406703
foursquaretky,USG,cp,medium,0.32250934886898014,0.04287391028689175,0.3217294937664581
foursquaretky,USG,cp,low,0.09672075419324962,0.04847765097479789,0.5773753480466104
foursquaretky,USG,cp,all,0.30938210175800296,0.04312674750356636,0.3554046944160105
foursquaretky,USG,cp_min_js,high,0.47019016992209317,0.03628922967189728,0.15468802834460463
foursquaretky,USG,cp_min_js,medium,0.3045670579260265,0.03817062925978759,0.17969291007396695
foursquaretky,USG,cp_min_js,low,0.09672075419324962,0.04847765097479789,0.5773753480466104
foursquaretky,USG,cp_min_js,all,0.29612241957868457,0.039855753685211624,0.2542284213226231
foursquaretky,USG,upd,high,0.11406893215271104,0.03743640038040896,-0.04405048578467941
foursquaretky,USG,upd,medium,0.09696752072737219,0.037999207481375835,-0.044527532034162966
foursquaretky,USG,upd,low,0.028595496688836965,0.03702508321445554,-0.04259687456382806
foursquaretky,USG,upd,all,0.08671339820473285,0.037691821207798425,-0.044045991290199274
foursquaretky,SimpleX,baseline,high,0.0418219739764083,0.021413694721825974,-0.32065858954341153
foursquaretky,SimpleX,baseline,medium,0.028029476337927288,0.020926890156918673,-0.3647288188110478
foursquaretky,SimpleX,baseline,low,0.009100656450073477,0.020720399429386572,-0.3347340377355665
foursquaretky,SimpleX,baseline,all,0.027002211888052716,0.020982952924393727,-0.34991581674242433
foursquaretky,SimpleX,cp,high,0.044454904942929536,0.017809914407988583,-0.43841532108574505
foursquaretky,SimpleX,cp,medium,0.028298474508545408,0.020227215089554582,-0.3853979841946063
