dataset,model,method,user_group,ndcg,arp,poplift
snowcard,BPR,baseline,high,0.04207863755078132,0.3074943000455998,0.038635896297022625
snowcard,BPR,baseline,medium,0.07178841804429927,0.3048069615443076,0.0566517361529465
snowcard,BPR,baseline,low,0.03498901628521281,0.30635157318741446,0.030509722183937164
snowcard,BPR,baseline,all,0.05848658159377835,0.30565335157318685,0.047820165387959905
snowcard,BPR,cp,high,0.04418173672935284,0.306201550387597,0.033620435111828495
snowcard,BPR,cp,medium,0.07250881077090202,0.2992878856969143,0.04216171040983064
snowcard,BPR,cp,low,0.04735795318417012,0.1682010943912448,-0.3254905136175047
snowcard,BPR,cp,all,0.06181322444524576,0.2744532603739166,-0.03307698945523671
snowcard,BPR,cp_min_js,high,0.03410848411754843,0.21361240310077526,-0.17531670638398797
snowcard,BPR,cp_min_js,medium,0.0582905961481158,0.19874373005015958,-0.2081154915987603
snowcard,BPR,cp_min_js,low,0.04735795318417012,0.1682010943912448,-0.3254905136175047
snowcard,BPR,cp_min_js,all,0.05126764514921315,0.19560893752849975,-0.2250307389595544
snowcard,BPR,upd,high,0.03993723991875013,0.2933178294573644,-0.03223132659204384
snowcard,BPR,upd,medium,0.07155920903087044,0.2845791153670775,-0.02771352123878658
snowcard,BPR,upd,low,0.027778437497706695,0.2934591883264935,-0.028380787997163363
snowcard,BPR,upd,all,0.05647866090181356,0.28810287277701707,-0.028750535661113377
snowcard,LORE,baseline,high,0.04803805988645476,0.19933743730050166,-0.30964402540176433
snowcard,LORE,baseline,medium,0.06010315379824223,0.185348229214166,-0.36917873624341013
snowcard,LORE,baseline,low,0.04721947603910697,0.1875886912904696,-0.3632706967741198
snowcard,LORE,baseline,all,0.05511339946405765,0.18859416324669406,-0.356090186181223
snowcard,LORE,cp,high,0.04803805988645476,0.19933743730050166,-0.30964402540176433
snowcard,LORE,cp,medium,0.06010315379824223,0.185348229214166,-0.36917873624341013
snowcard,LORE,cp,low,0.047651631247138344,0.14887368901048784,-0.4658747256026779
snowcard,LORE,cp,all,0.05519983050566392,0.1808511627906977,-0.37661099194693465
snowcard,LORE,cp_min_js,high,0.05235233200857441,0.17718650250797993,-0.30056677316436375
snowcard,LORE,cp_min_js,medium,0.05074335896771775,0.16098966408268714,-0.3483531130185218
snowcard,LORE,cp_min_js,low,0.04235519560433918,0.13014728682170532,-0.4659799905452216
snowcard,LORE,cp_min_js,all,0.04938752090321332,0.15806055631554955,-0.36232122055302973
snowcard,LORE,upd,high,0.03111536681837131,0.2913137254901961,-0.03693953706984332
snowcard,LORE,upd,medium,0.07585830367906614,0.2817867457060342,-0.03455830310481185
snowcard,LORE,upd,low,0.030903448664220654,0.2898486092111263,-0.03829820091609663
snowcard,LORE,upd,all,0.05791874530395799,0.28530451436388465,-0.0357825294600751
snowcard,USG,baseline,high,0.05733916240786558,0.47203465572275416,0.6531432339658493
snowcard,USG,baseline,medium,0.06646407194050893,0.4624154126766979,0.679358571206064
snowcard,USG,baseline,low,0.02629207052312183,0.452706794345645,0.5736350377241796
snowcard,USG,baseline,all,0.05660468975050278,0.46239753761969865,0.6529707970616434
snowcard,USG,cp,high,0.05852651969822566,0.4707136342909256,0.6493233975929511
snowcard,USG,cp,medium,0.06678143999705563,0.451315701474388,0.6375694598887298
snowcard,USG,cp,low,0.0426248378954066,0.2071992704058367,-0.1504903826028843
snowcard,USG,cp,all,0.06029913551695972,0.4063720018239854,0.48230827893125144
snowcard,USG,cp_min_js,high,0.031869831054431856,0.26831098951208393,0.0672017487767565
snowcard,USG,cp_min_js,medium,0.053804866160909987,0.2535481076151391,0.032893181362152184
snowcard,USG,cp_min_js,low,0.0426248378954066,0.2071992704058367,-0.1504903826028843
snowcard,USG,cp_min_js,all,0.047181853486513624,0.24723091655266796,0.003078182052065691
snowcard,USG,upd,high,0.04026859896295768,0.29720018239854096,-0.021431350574233034
snowcard,USG,upd,medium,0.07709873983695299,0.28782960936312507,-0.01869696219667427
snowcard,USG,upd,low,0.024693153280691018,0.29668992248062,-0.019422475998620178
snowcard,USG,upd,all,0.05925159435090149,0.2914757865937075,-0.019388942632575196
snowcard,SimpleX,baseline,high,0.04859467315997114,0.34852485180118564,0.1902564054149229
snowcard,SimpleX,baseline,medium,0.071609612383792,0.34559629122967017,0.20785158194023612
snowcard,SimpleX,baseline,low,0.03345444490438002,0.34764295485636104,0.1649157359833451
snowcard,SimpleX,baseline,all,0.059375591043145354,0.34659133606931125,0.19574537744379547
snowcard,SimpleX,cp,high,0.04859467315997114,0.34852485180118564,0.1902564054149229
snowcard,SimpleX,cp,medium,0.07432932321258516,0.3366038911688707,0.1845303292926371
snowcard,SimpleX,cp,low,0.0423297664943894,0.17693524851801168,-0.27827966859661707
snowcard,SimpleX,cp,all,0.06278248185842314,0.30705435476516146,0.09311354493924347
snowcard,SimpleX,cp_min_js,high,0.028437722925562584,0.22476698586411306,-0.11193871093060001
snowcard,SimpleX,cp_min_js,medium,0.05824980939145117,0.2098682170542635,-0.14671421810310356
snowcard,SimpleX,cp_min_js,low,0.0423297664943894,0.17693524851801168,-0.27827966859661707
snowcard,SimpleX,cp_min_js,all,0.04910338351886107,0.20626137710898268,-0.1660722067673055
snowcard,SimpleX,upd,high,0.04170447380900768,0.29126858185134513,-0.035714929388851326
snowcard,SimpleX,upd,medium,0.07420142637237925,0.2834576683386531,-0.029880429578422102
snowcard,SimpleX,upd,low,0.020781333613243396,0.2920994072047424,-0.03117721852353345
snowcard,SimpleX,upd,all,0.05701801730787771,0.28674819881440955,-0.03130668732953016
