dataset,model,method,user_group,ndcg,arp,poplift
yelp,BPR,baseline,high,0.01620451038715595,0.00932623798965262,1.967528796308308
yelp,BPR,baseline,medium,0.009612776272523164,0.009600344912540037,2.0958668338065167
yelp,BPR,baseline,low,0.0047689218602446435,0.009135107169253514,1.9455391939173523
yelp,BPR,baseline,all,0.009962352212994019,0.009452475979305259,2.0401336983290443
yelp,BPR,cp,high,0.01620451038715595,0.00928854397634885,1.9463972794923556
yelp,BPR,cp,medium,0.009612776272523164,0.009497979797979807,2.049812021732274
yelp,BPR,cp,low,0.0047689218602446435,0.009105986696230604,1.9308766327744673
yelp,BPR,cp,all,0.009962352212994019,0.00937769401330377,2.005341995492733
yelp,BPR,cp_min_js,high,0.0,0.00507169253510717,0.6463868047545862
yelp,BPR,cp_min_js,medium,0.0068019454612430605,0.004662256713476218,0.5419284842120389
yelp,BPR,cp_min_js,low,0.0014355885269113102,0.004392756836659277,0.44506224492523005
yelp,BPR,cp_min_js,all,0.0043682849821280985,0.004690243902439019,0.5434469004631877
yelp,BPR,upd,high,0.0014355885269113102,0.003457575757575758,-0.00230232226926574
yelp,BPR,upd,medium,0.011954857901487176,0.00334328652377433,-0.0037211843122542314
yelp,BPR,upd,low,0.0035386877054828353,0.003308130081300812,-0.0033289660270268413
yelp,BPR,upd,all,0.008167769987371135,0.0033591130820399104,-0.0033589682466110583
yelp,LORE,baseline,high,0.0077349009133760435,0.0019450110864745003,-0.35757014817650684
yelp,LORE,baseline,medium,0.006009315572064677,0.00207807341709781,-0.31164359942785513
yelp,LORE,baseline,low,0.00564178688405436,0.0019997782705099792,-0.3211068230546833
yelp,LORE,baseline,all,0.006280926902724887,0.0020358019216555777,-0.3227215539029511
yelp,LORE,cp,high,0.0077349009133760435,0.0019690317812269035,-0.34461535496425194
yelp,LORE,cp,medium,0.008710067303257336,0.001879945799457997,-0.32657016701310265
yelp,LORE,cp,low,0.00564178688405436,0.0019987435328898753,-0.3172267202901888
yelp,LORE,cp,all,0.007901377941440482,0.0019215225424981514,-0.3283105152587493
yelp,LORE,cp_min_js,high,0.0044015675800427095,0.0020146341463414645,-0.28645398170181396
yelp,LORE,cp_min_js,medium,0.008710067303257336,0.001879945799457997,-0.32657016701310265
yelp,LORE,cp_min_js,low,0.002103099178571525,0.001806873614190688,-0.3473832175996637
yelp,LORE,cp_min_js,all,0.00652697373367725,0.0018922690317812265,-0.3227095400681566
yelp,LORE,upd,high,0.002103099178571525,0.0033069475240206972,-0.032315189734712195
yelp,LORE,upd,medium,0.0074091116703007475,0.003242153239714214,-0.024398147318238632
yelp,LORE,upd,low,0.0054364325119048585,0.003218033998521805,-0.020399921639541817
yelp,LORE,upd,all,0.005953373340275725,0.0032502882483370367,-0.025181910665793984
yelp,USG,baseline,high,0.0064355885269113105,0.008895787139689578,1.7181414270290616
yelp,USG,baseline,medium,0.008529998151509559,0.00922278886425227,1.8864288152692203
yelp,USG,baseline,low,0.0047689218602446435,0.008682705099778271,1.728178698190037
yelp,USG,baseline,all,0.007358900968336927,0.009049371766444946,1.8211213142053473
yelp,USG,cp,high,0.0064355885269113105,0.008851219512195118,1.6976742658698107
yelp,USG,cp,medium,0.008529998151509559,0.009208943089430885,1.8789956413223476
yelp,USG,cp,low,0.0047689218602446435,0.008619733924611978,1.6993210546243112
yelp,USG,cp,all,0.007358900968336927,0.009019556541019958,1.8067964488922295
yelp,USG,cp_min_js,high,0.005956279150604717,0.004695787139689583,0.5014431807109953
yelp,USG,cp_min_js,medium,0.007802508117905426,0.004296107415619614,0.4018000459336271
yelp,USG,cp_min_js,low,0.0014355885269113102,0.0039172209903917225,0.2765795388728413
yelp,USG,cp_min_js,all,0.006159878406246463,0.004300266075388015,0.3966845714769434
yelp,USG,upd,high,0.0,0.003460753880266078,-0.0028829388683518278
yelp,USG,upd,medium,0.00997728694656259,0.003343532889874353,-0.004194939237042924
yelp,USG,upd,low,0.005205354372149502,0.0033061345158906146,-0.0037519814153038687
yelp,USG,upd,all,0.0070274430423674554,0.003359497413155955,-0.003843947598956897
yelp,SimpleX,baseline,high,0.014768921860244644,0.009258167036215816,1.9723648882240044
yelp,SimpleX,baseline,medium,0.006423494675200288,0.009512687854151262,2.096257984767204
yelp,SimpleX,baseline,low,0.006204510387155954,0.009002882483370292,1.913999506531051
yelp,SimpleX,baseline,all,0.008048783254600294,0.009359822616407986,2.0350276698113285
yelp,SimpleX,cp,high,0.014768921860244644,0.009246711012564671,1.9666064850605558
yelp,SimpleX,cp,medium,0.007855788926664607,0.00939926090169992,2.0485858378216024
yelp,SimpleX,cp,low,0.006204510387155954,0.008970657797487066,1.8980114508506911
yelp,SimpleX,cp,all,0.008908159805478886,0.0092830303030303,2.0020750898752055
yelp,SimpleX,cp_min_js,high,0.005,0.0047826311899482644,0.5523827044688664
yelp,SimpleX,cp_min_js,medium,0.006449135055345356,0.0043245627001724535,0.4280971587788229
yelp,SimpleX,cp_min_js,low,0.002103099178571525,0.004088543976348853,0.33535876607724635
yelp,SimpleX,cp_min_js,all,0.005290100868921519,0.004368972653362883,0.4344065893765157
yelp,SimpleX,upd,high,0.002103099178571525,0.0034583887657058414,-0.00229952828869205
yelp,SimpleX,upd,medium,0.004973371272795834,0.0033401576743040135,-0.004357653801406167
yelp,SimpleX,upd,low,0.002103099178571525,0.0033024390243902454,-0.004226452686841648
yelp,SimpleX,upd,all,0.0038252624351061103,0.003356260162601628,-0.003919788475950442
